200000109125621742|1427952|蘑菇黄金汤|18|25.0
200000076733576721|1332442|金枪鱼色拉|7|58.0
200000096210685490|1332454|柠檬塔|7|35.0
200000076737689105|1332442|鸡肉牛油果芒果色拉|13|65.0
200000076734664686|1427952|煎金枪鱼配黑米|3|68.0
200000076739099517|488122|煎三文鱼色拉配鸡肉|2|86.0
200000076731175502|1332461|牛肉卷套餐|16|58.0
200000076727022461|488122|牛肉卷套餐|4|58.0
200000096224630322|1332454|胡萝卜蛋糕|11|23.0
200000076730778129|1332442|沃歌斯冠军套餐配牛油果|1|71.0
200000076731690990|1427952|煎三文鱼配卷心菜沙拉和风汁|1|68.0
200000076739101565|488122|牛肉卷套餐配牛油果|1|71.0
200000076725997134|1332461|牛肉卷套餐配牛油果|4|71.0
200000076727025533|488122|牛肉卷套餐配鸡肉|2|76.0
200000076730779153|1332442|沃歌斯冠军套餐配鸡肉|5|76.0
200000109138812797|488122|蘑菇黄金汤|2|25.0
200000076730781201|1332442|素食套餐配牛油果|6|71.0
200000076734669806|1427952|泰碗配黑米煎三文鱼绿咖喱酱|7|68.0
200000076725999182|1332461|牛肉卷套餐配鸡肉|1|76.0
200000076734673902|1427952|泰碗配混合蔬菜泰式肉丸花生酱|1|68.0
200000109138801230|1332461|蘑菇黄金汤|26|25.0
200000076730782225|1332442|素食套餐配鸡肉|1|76.0
200000076732005245|488122|煎金枪鱼配黑米|7|68.0
200000076739058557|488122|煎三文鱼配卷心菜沙拉和风汁|1|68.0
200000076731100750|1332461|煎金枪鱼配黑米|18|68.0
200000107978336818|1332454|精灵的帽子|1|14.0
200000076733676049|1332442|沃歌斯色拉配牛油果|2|71.0
200000076734564334|1427952|意式细面配烟熏三文鱼|15|65.0
200000076733681169|1332442|沃歌斯色拉配鸡肉|2|76.0
200000076738016846|1332461|煎三文鱼配卷心菜沙拉和风汁|12|68.0
200000076739059581|488122|泰碗配黑米煎三文鱼绿咖喱酱|4|68.0
200000076738536430|1427952|意式海鲜细面|18|65.0
200000114415107662|1332461|煎三文鱼配红米|2|68.0
200000076730783249|1332442|凯撒色拉配牛油果|8|68.0
200000076737840690|1332454|美式咖啡中杯|5|22.0
200000076726973309|488122|泰碗配混合蔬菜泰式肉丸花生酱|1|68.0
200000076738537454|1427952|意式细面烤南瓜|10|60.0
200000076738017870|1332461|泰碗配黑米煎三文鱼绿咖喱酱|20|68.0
200000076730785297|1332442|凯撒色拉配鸡肉|9|73.0
200000076730914354|1332454|美式咖啡大杯|19|25.0
200000076731106894|1332461|泰碗配混合蔬菜泰式肉丸花生酱|5|68.0
200000076725628433|1332442|金枪鱼色拉配牛油果|1|71.0
200000076737844786|1332454|卡布奇诺中杯|6|28.0
200000076734936957|488122|意式细面配烟熏三文鱼|16|65.0
200000076731593710|1427952|意式螺丝面配培根,鸡肉|27|58.0
200000076730788369|1332442|金枪鱼色拉配鸡肉|1|76.0
200000076737845810|1332454|卡布奇诺大杯|17|31.0
200000076733932110|1332461|意式细面配烟熏三文鱼|39|65.0
200000076738983805|488122|意式海鲜细面|11|65.0
200000076738563054|1427952|意式螺丝面配西班牙风味香肠|33|58.0
200000076725706257|1332442|John套餐|11|58.0
200000076733820466|1332454|拿铁中杯|15|28.0
200000076737940046|1332461|意式海鲜细面|21|65.0
200000076738984829|488122|意式细面烤南瓜|3|60.0
200000076734723054|1427952|意式细面配培根|11|65.0
200000076725708305|1332442|煎三文鱼色拉|3|68.0
200000076738985853|488122|意式肉酱面|8|60.0
200000076737848882|1332454|拿铁大杯|22|31.0
200000076733822514|1332454|摩卡中杯|1|31.0
200000076726719470|1427952|意式螺丝面配进口牛胸肉|3|65.0
200000076738990973|488122|意式螺丝面配培根,鸡肉|20|58.0
200000076737941070|1332461|意式细面烤南瓜|15|60.0
200000076733764113|1332442|John套餐配鸡肉|1|76.0
200000076730916402|1332454|摩卡大杯|1|34.0
200000076725862990|1332461|意式肉酱面|14|60.0
200000114423205870|1427952|意式空心面配鸡肉,香草酱|1|60.0
200000076726927229|488122|意式螺丝面配西班牙风味香肠|12|58.0
200000076733823538|1332454|热巧克力大杯|4|36.0
200000076725977678|1332461|意式细面配培根|6|65.0
200000076739092349|488122|意式细面配培根|6|65.0
200000076731181646|1332461|意式螺丝面配进口牛胸肉|3|65.0
200000076725712401|1332442|煎三文鱼色拉配牛油果|1|81.0
200000076725776946|1332454|冰美式咖啡中杯|1|22.0
200000076730859025|1332442|煎三文鱼色拉配鸡肉|1|86.0
200000076733937230|1332461|烤火腿三明治|22|58.0
