Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SIVB,SVB Financial Group,183.31,9622899511,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sivb
TTWO,"Take-Two Interactive Software, Inc.",74.62,7748309105,n/a,1997,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ttwo
TECD,Tech Data Corporation,100.57,3834592497,n/a,1986,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/tecd
TELL,Tellurian Inc.,10.82,2192656889,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tell
TSRO,"TESARO, Inc.",148.94,8022614525,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tsro
TTEK,"Tetra Tech, Inc.",46.5,2657781203,n/a,1991,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/ttek
TCBI,"Texas Capital Bancshares, Inc.",78.6,3895803734,n/a,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbi
TXRH,"Texas Roadhouse, Inc.",50.1,3553231729,n/a,2004,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/txrh
TFSL,TFS Financial Corporation,15.96,4512430826,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/tfsl
ABCO,The Advisory Board Company,51,2069766660,n/a,2001,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/abco
CG,The Carlyle Group L.P.,18.45,6034304952,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/cg
CAKE,The Cheesecake Factory Incorporated,52.58,2521944281,n/a,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cake
GT,The Goodyear Tire & Rubber Company,35.67,8986362219,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gt
HAIN,"The Hain Celestial Group, Inc.",34.97,3617583029,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/hain
MDCO,The Medicines Company,38.75,2796468383,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdco
